,name,protein,unit protein,carb,unit carb,lipid,unit lip,searched
36,powdered french vanilla non-dairy coffee creamer,0.0,G,86.3,G,13.3,G,1
37,instant chocolate fudge pudding mix,2.3,G,87.9,G,1.9,G,1
38,lemonade mix,0.0,G,9.02,G,0.0,G,1
39,whole wheat pita bread,9.8,G,55.9,G,1.71,G,1
40,instant mashed potato,2.15,G,17.6,G,4.06,G,1
41,roasted garlic and red pepper spice mix,12.0,G,56.6,G,17.3,G,1
42,lawry's baja chipotle sauce,0.0,G,13.3,G,0.0,G,1
43,tomato paste,3.03,G,18.2,G,0.0,G,1
44,pastry for double crust pie,1.8,G,38.9,G,9.33,G,1
45,mushroom and green pepper spaghetti sauce,6.13,G,16.7,G,2.83,G,1
46,cream of mushroom soup,1.67,G,5.83,G,0.83,G,1
47,milk chocolate and caramel swirled morsel,4.2,G,63.9,G,30.0,G,1
48,seasoning mix,0.0,G,75.0,G,0.0,G,1
49,finely shredded four cheese,37.9,G,3.41,G,27.3,G,1
50,condensed cream of mushroom & garlic soup,1.29,G,6.59,G,5.5,G,1
51,stewed tomato,1.61,G,15.4,G,3.17,G,1
52,light cheese,7.85,G,8.13,G,15.3,G,1
53,condensed cream of chicken,2.38,G,7.16,G,5.77,G,1
54,sun-dried tomatoes packed in oil,5.06,G,23.3,G,14.1,G,1
55,baking sticks butter all-vegetable shortening,0.0,G,0.0,G,100,G,1
56,instant white chocolate pudding mix,2.3,G,87.9,G,1.9,G,1
57,holiday shapes and morsel,2.2,G,67.1,G,29.0,G,1
58,cheese spread,13.3,G,16.7,G,26.7,G,1
59,northwest triple berry preserve,0.0,G,65.0,G,0.0,G,1
60,candy bar,2.08,G,81.1,G,7.28,G,1
61,instant apple and cinnamon oatmeal,8.62,G,76.7,G,4.61,G,1
62,instant pudding mix,0.0,G,92.7,G,0.6,G,1
63,all-purpose baking flmy,10.9,G,77.3,G,1.48,G,1
64,trail mix,12.3,G,52.6,G,24.6,G,1
65,condensed cream of tomato soup,1.46,G,15.2,G,0.44,G,1
66,tomatoes seasoned,5.14,G,5.3,G,15.0,G,1
67,double chocolate chunk cookie mix,4.17,G,79.2,G,8.33,G,1
68,instant cheesecake pudding mix,0.0,G,92.7,G,0.6,G,1
69,lemon instant pudding and pie filling,4.72,G,68.8,G,6.76,G,1
70,white wine worcestershire sauce,0.0,G,19.2,G,0.0,G,1
71,hood calorie countdown dairy beverage,25.0,G,51.4,G,2.6,G,1
72,instant vanilla pudding and pie filling,0.0,G,92.9,G,0.6,G,1
73,frozen hash brown,2.06,G,17.7,G,0.62,G,1
74,banana cream pudding and pie filling mix,4.4,G,32.9,G,13.6,G,1
75,condensed cream of chicken soup,3.25,G,8.13,G,2.03,G,1
76,chili sauce,2.94,G,26.5,G,0.0,G,1
77,french vanilla liquid coffee creamer,1.0,G,11.4,G,9.97,G,1
78,tomato basil pasta sauce,0.8,G,4.0,G,3.6,G,1
79,ro*tel diced tomatoes & green chily,0.84,G,3.32,G,0.5,G,1
80,laughing cow light garlic and herb cheese,14.3,G,4.76,G,7.14,G,1
81,chocolate and mint swirled morsel,4.2,G,63.9,G,30.0,G,1
82,cheesecake instant pudding and pie filling,0.0,G,95.8,G,0.0,G,1
83,butter spread,11.8,G,42.8,G,34.4,G,1
84,chicken broth,0.41,G,0.41,G,0.0,G,1
85,instant butterscotch pudding mix,0.0,G,92.7,G,0.6,G,1
86,jalapeno pepper diced tomato,8.98,G,16.4,G,15.6,G,1
87,black bean,5.29,G,26.0,G,2.2,G,1
88,italian cheese and herb cooking creme,7.38,G,34.9,G,10.8,G,1
89,grillers recipe crumble,18.2,G,9.09,G,4.55,G,1
90,roasted garlic and onion spaghetti sauce,1.41,G,8.05,G,1.48,G,1
91,frozen broccoli cauliflower red sweet pepper mix,1.08,G,4.45,G,0.21,G,1
92,long grain and wild rice mix,2.91,G,26.0,G,0.37,G,1
93,old bay seasoning,1.11,G,6.67,G,0.0,G,1
94,condensed cream of mushroom soup,1.6,G,8.0,G,4.8,G,1
95,condensed cream of broccoli soup,2.1,G,7.7,G,5.3,G,1
96,home s taco dinner kit,10.9,G,34.8,G,10.9,G,1
97,soft cheese,10.2,G,62.4,G,5.36,G,1
98,cream of chicken soup,1.6,G,7.2,G,6.4,G,1
99,refrigerated flaky biscuit,6.79,G,49.0,G,11.2,G,1
100,kosher salt & ground black pepper,0.0,G,0.0,G,0.0,G,1
101,cream of broccoli soup,2.4,G,10.0,G,1.22,G,1
102,lemon frosting,5.49,G,50.9,G,20.1,G,1
103,roasted red peppers packed in oil,29.1,G,0.0,G,8.21,G,1
104,ranch dips mix,2.35,G,14.0,G,15.2,G,1
105,beef chuck shoulder pot roast,30.9,G,0.0,G,9.25,G,1
106,double crust pie crust,6.08,G,64.5,G,22.4,G,1
107,ragu parmesan and romano spaghetti sauce,1.41,G,8.05,G,1.48,G,1
108,broccoli carrots and water chestnut mix,1.18,G,5.88,G,0.0,G,1
109,unbaked deep dish pie pastry,5.52,G,46.8,G,28.7,G,1
110,instant vanilla pudding mix,0.0,G,92.9,G,0.6,G,1
111,egg beaters garden vegetable egg substitute,8.56,G,2.31,G,5.05,G,1
112,pork and beans in tomato sauce,4.62,G,17.7,G,0.38,G,1
113,tomato and basil pasta sauce,0.88,G,3.54,G,2.65,G,1
114,hines fudge brownie mix,6.06,G,81.8,G,7.58,G,1
115,mix for beef pastum,12.3,G,72.2,G,1.78,G,1
116,frozen hash brown potato,2.06,G,17.7,G,0.62,G,1
117,hazelnut nondairy liquid coffee creamer,1.0,G,11.4,G,9.97,G,1
118,cream of chicken and broccoli soup,2.38,G,7.16,G,5.77,G,1
119,self-rising corm meal mix,8.41,G,74.8,G,1.72,G,1
120,salt,0.0,G,0.0,G,0.0,G,1
121,french vanilla powdered coffee creamer,2.48,G,59.3,G,32.9,G,1
122,onion soup mix,14.3,G,71.4,G,0.0,G,1
123,nestl premier white morsel,7.14,G,64.3,G,28.6,G,1
124,black-eyed pea,22.9,G,60.0,G,0.0,G,1
125,refried bean,4.98,G,13.6,G,2.01,G,1
126,monterey jack and colby cheese,24.1,G,1.62,G,31.2,G,1
127,instant chocolate pudding mix,2.3,G,87.9,G,1.9,G,1
128,hickory and brown sugar barbecue sauce,0.0,G,48.6,G,0.0,G,1
129,chocolate bar,4.0,G,68.0,G,28.0,G,1
130,frozen bell peppers onions and celery,0.94,G,8.77,G,0.74,G,1
131,suddenly pasta salad,11.1,G,75.6,G,2.22,G,1
132,sour cream and chives potato mix,7.41,G,77.8,G,0.0,G,1
133,sweet ground chocolate and cocoa,3.0,G,75.0,G,15.0,G,1
134,onion and herb seasoning,1.1,G,9.34,G,0.1,G,1
135,parmesan asiago and romano cheese blend,40.0,G,0.0,G,30.0,G,1
136,sour cream and onion potato chip,6.51,G,55.9,G,31.1,G,1
137,shredded whole wheat cereal,11.6,G,80.2,G,2.06,G,1
138,peanut butter and milk chocolate chip,10.2,G,54.3,G,33.2,G,1
139,instant maple and brown sugar oatmeal,9.2,G,76.9,G,4.63,G,1
140,chicken meat,14.0,G,0.0,G,9.6,G,1
141,onion mushroom dry soup mix,7.48,G,65.1,G,0.34,G,1
142,pastry for a double-crust pie,1.8,G,38.9,G,9.33,G,1
143,angel hair pastum,11.2,G,56.2,G,1.88,G,1
144,orange yogurt,0.94,G,11.8,G,0.12,G,1
145,cream of chicken and mushroom soup,2.47,G,8.41,G,3.42,G,1
146,white chocolate pudding mix,2.3,G,87.9,G,1.9,G,1
147,oriental ramen noodle soup mix,11.6,G,60.5,G,16.3,G,1
148,banana cream pudding mix,2.68,G,27.9,G,4.23,G,1
149,small curd cottage cheese,11.2,G,3.12,G,4.38,G,1
150,orange spread,18.0,G,4.05,G,17.6,G,1
151,pastry crust,7.4,G,45.7,G,38.5,G,1
152,roasted red pepper and eggplant spread,15.3,G,3.73,G,16.3,G,1
153,tomato basil garlic seasoning,7.17,G,3.86,G,10.9,G,1
154,diced potato,0.19,G,11.6,G,0.36,G,1
155,jell-o chocolate pudding and pie filling,1.01,G,23.2,G,1.01,G,1
156,chopped mixed candied fruits and peel,0.34,G,82.7,G,0.07,G,1
157,refrigerated chocolate chip cookie dough,3.98,G,61.0,G,21.3,G,1
158,vanilla ice cream,5.56,G,28.9,G,13.3,G,1
159,frozen cut broccoli in cheese sauce,3.0,G,5.18,G,3.02,G,1
160,broccoli cheese soup,5.71,G,6.53,G,6.53,G,1
161,cream of celery soup,1.67,G,7.08,G,0.83,G,1
162,chicken strip,19.2,G,22.0,G,14.5,G,1
163,nestl butterscotch morsel,2.2,G,67.1,G,29.0,G,1
164,minestrone soup,1.67,G,9.17,G,0.42,G,1
165,stir-fry sauce,5.56,G,22.2,G,0.0,G,1
166,complete caesar salad in a bag,4.23,G,6.78,G,3.57,G,1
167,condensed cream of asparagus soup,1.82,G,8.52,G,3.26,G,1
168,instant pistachio pudding mix,0.0,G,92.7,G,0.6,G,1
169,individual size prebaked pizza crust,3.0,G,42.6,G,16.1,G,1
170,hungry jack big flaky refrigerated biscuit,6.79,G,49.0,G,11.2,G,1
171,broccoli and cheese rice mix,4.13,G,15.1,G,3.5,G,1
172,mild enchilada sauce,0.62,G,4.87,G,0.91,G,1
173,cheese,21.1,G,2.46,G,24.6,G,1
174,frozen corn broccoli and red pepper,1.08,G,4.45,G,0.21,G,1
175,lawry teriyaki marinade,21.6,G,3.34,G,1.56,G,1
176,solid white tuna packed in water,23.6,G,0.0,G,2.97,G,1
177,spicy black bean burger,13.4,G,19.4,G,6.72,G,1
178,tortilla,5.26,G,44.7,G,2.63,G,1
179,monterey jack pepper cheese,24.5,G,0.68,G,30.3,G,1
180,roasted garlic and sweet onion jam,0.0,G,60.0,G,0.0,G,1
181,seasoned rice vinegar,0.0,G,33.3,G,0.0,G,1
182,stove top chicken stuffing mix,12.6,G,73.1,G,4.1,G,1
183,chicken and rice soup,2.53,G,5.71,G,0.55,G,1
184,fluffy white frosting,2.3,G,94.9,G,0.0,G,1
185,alfredo,2.37,G,1.48,G,15.1,G,1
186,cinnamon streusel muffin mix,4.55,G,78.8,G,9.09,G,1
187,rum,0.0,G,0.0,G,0.0,G,1
188,garlic and herb seasoning,0.0,G,0.0,G,0.0,G,1
189,ature peanut butter cup,10.2,G,55.4,G,30.5,G,1
190,eye of round beef steak,23.2,G,0.0,G,3.83,G,1
191,light vegetable oil spread,0.0,G,0.0,G,35.7,G,1
192,sausage,10.7,G,12.0,G,17.3,G,1
193,long grain and wild rice blend,6.98,G,79.1,G,1.16,G,1
194,hamburger bun,9.77,G,50.1,G,3.91,G,1
195,pastry for double-crust deep dish pie,6.1,G,52.5,G,31.8,G,1
196,powdered non-dairy coffee creamer,2.48,G,59.3,G,32.9,G,1
197,sazon,0.0,G,0.0,G,0.0,G,1
198,graham cracker pie crust,4.76,G,57.1,G,33.3,G,1
199,fetum,0,0,0,0,0,0,1
200,yeast,40.4,G,41.2,G,7.61,G,1
201,frozen deep dish pie shell,6.1,G,52.5,G,31.8,G,1
202,yoplait creme caramel yogurt,4.08,G,17.9,G,2.66,G,1
203,dry infant rice cereal,6.3,G,82.4,G,0.5,G,1
204,sweetened condensed milk,10.0,G,73.3,G,10.0,G,1
205,chili paste,9.0,G,47.8,G,27.7,G,1
206,annatto,0.0,G,0.0,G,0.0,G,1
207,salt & ground black pepper,0.0,G,0.0,G,0.0,G,1
208,frozen onion and three pepper blend,1.25,G,5.0,G,0.0,G,1
209,beef and onion soup mix,7.48,G,65.1,G,0.34,G,1
210,instant coconut pudding mix,0.9,G,83.5,G,10.0,G,1
211,nestl chocolate morsel,0.0,G,67.2,G,0.0,G,1
212,french vanilla cafe instant coffee,2.5,G,74.6,G,19.2,G,1
213,sea salt & fresh black pepper,0.0,G,0.0,G,0.0,G,1
214,deep dish pie crust,4.35,G,47.8,G,26.1,G,1
215,center cut pork loin roast,27.0,G,0.0,G,12.8,G,1
216,"oranges, juice and rind of",10.6,G,59.7,G,9.1,G,1
217,cooked whole grain brown rice,5.96,G,29.9,G,1.7,G,1
218,instant banana pudding mix,0.0,G,92.7,G,0.6,G,1
219,garlic and onion pasta sauce,1.4,G,3.36,G,73.0,G,1
220,frozen vegetable,5.01,G,14.8,G,7.71,G,1
221,dry 18 bean soup mix,7.48,G,65.1,G,0.34,G,1
222,brown and wild rice mix,2.76,G,19.3,G,2.14,G,1
223,vanilla cream-filled cookies,4.33,G,68.2,G,24.5,G,1
224,frozen crinkle cut french fry,2.34,G,24.0,G,4.99,G,1
225,beef top round steak,23.5,G,0.0,G,3.66,G,1
226,tomato,14.3,G,35.7,G,0.0,G,1
227,apricot,0.0,G,13.5,G,0.0,G,1
228,mixed nuts and dried fruit,10.9,G,51.1,G,26.7,G,1
229,beef broth,0.83,G,0.42,G,0.0,G,1
230,cream of potato soup,2.42,G,8.83,G,1.94,G,1
231,refrigerated crescent dinner roll,10.4,G,28.5,G,4.51,G,1
232,pork sirloin tip roast,22.9,G,0.0,G,1.71,G,1
233,raspberry yogurt,2.35,G,17.6,G,1.18,G,1
234,whole wheat angel hair pastum,14.0,G,71.9,G,1.75,G,1
235,shepherds pie mix,6.35,G,14.1,G,3.15,G,1
236,fine bread crumb,13.4,G,72.0,G,5.3,G,1
237,chicken stuffing mix,20.0,G,11.7,G,4.88,G,1
238,frozen broccoli,3.0,G,5.18,G,3.02,G,1
239,chocolate graham wafer pie crust,6.08,G,64.5,G,22.4,G,1
240,lite silken firm tofu,6.3,G,1.1,G,0.8,G,1
241,instant chicken bouillon granule,0.0,G,25.0,G,0.0,G,1
242,butterfly pork loin chop,20.7,G,0.0,G,9.03,G,1
243,chunky garden combination pasta sauce,1.57,G,7.87,G,1.18,G,1
244,lemon-lime powdered drink mix,5.1,G,86.9,G,4.76,G,1
245,whole almond,21.0,G,18.8,G,55.5,G,1
246,powdered drink mix,5.1,G,86.9,G,4.76,G,1
247,sun-dried tomato,14.1,G,55.8,G,2.97,G,1
248,orange drink mix,0.2,G,13.4,G,0.0,G,1
249,shredded hash brown,2.49,G,26.6,G,8.99,G,1
250,sour cream and chive dip,3.57,G,7.14,G,17.9,G,1
251,cooking spray,0.0,G,0.0,G,0.0,G,1
252,lemon & herb seasoning,0.0,G,6.67,G,30.0,G,1
253,american cheese single,22.7,G,11.7,G,1.0,G,1
254,minced fresh garlic clove,5.97,G,65.5,G,13.0,G,1
255,frozen broccoli carrots cauliflower mix,1.72,G,5.43,G,2.89,G,1
256,beef top loin steak,22.8,G,0.0,G,6.43,G,1
257,rice,3.47,G,26.4,G,2.43,G,1
258,macaroni & cheese dinner mix,10.7,G,73.2,G,1.79,G,1
259,"lime, juice and zest of",0.42,G,8.42,G,0.07,G,1
260,dulce de leche ice cream,6.84,G,55.4,G,7.35,G,1
261,refried black bean,3.54,G,13.3,G,6.19,G,1
262,"lemons, juice and rind of",10.6,G,59.7,G,9.1,G,1
263,instant dry milk powder,8.53,G,59.8,G,11.8,G,1
264,no yolks egg noodle substitute,33.6,G,0.66,G,59.1,G,1
265,alphabet pasta and vegetable soup,2.13,G,8.64,G,1.17,G,1
266,sweet and spicy barbecue sauce,0.95,G,46.1,G,0.43,G,1
267,honey-nut toasted oat cereal,10.7,G,76.0,G,5.36,G,1
268,creme de menthe coffee syrup,0.0,G,41.6,G,0.3,G,1
269,cherry cordial chocolate kiss,0.0,G,41.6,G,0.3,G,1
270,pineapple chunks in heavy syrup,0.0,G,20.7,G,0.0,G,1
271,alfredo sauce,2.37,G,1.48,G,15.1,G,1
272,sweet and sour sauce,0.27,G,38.2,G,0.02,G,1
273,gelatin mix,0.0,G,85.7,G,0.0,G,1
274,shrimp ramen noodle soup,10.2,G,60.3,G,17.6,G,1
275,dried hot red chili pepper,1.87,G,8.81,G,0.44,G,1
276,oven-roasted turkey breast,23.2,G,1.79,G,0.89,G,1
277,whole wheat flmy,10.2,G,48.9,G,1.53,G,1
278,duck breast half,19.8,G,0.0,G,4.25,G,1
279,mixed green and yellow bean,3.53,G,13.0,G,5.0,G,1
280,cornbread,4.26,G,52.1,G,7.45,G,1
281,pinto bean,20.4,G,63.6,G,1.14,G,1
282,meatball,7.03,G,33.6,G,9.38,G,1
283,velveeta shells and cheese dinner,16.3,G,9.8,G,22.0,G,1
284,spice blend,0.0,G,0.0,G,0.0,G,1
285,beefy mushroom soup mix,2.5,G,4.17,G,1.25,G,1
286,corn mixed,7.4,G,49.1,G,10.2,G,1
287,teddy grahams honey graham snack,6.69,G,77.7,G,10.6,G,1
288,refrigerated orange sweet roll dough,5.0,G,51.6,G,12.2,G,1
289,half & half light cream,3.13,G,4.3,G,11.5,G,1
290,vegetable seasoning,2.3,G,6.8,G,0.2,G,1
291,ro-tel diced tomato,0.8,G,4.0,G,0.0,G,1
292,grated parmesan cheese,40.0,G,0.0,G,40.0,G,1
293,ritz bits cheese cracker,7.66,G,56.0,G,25.1,G,1
294,french vanilla coffee creamer,0.0,G,33.3,G,10.0,G,1
295,complete pancake and waffle mix,5.2,G,36.7,G,2.5,G,1
296,condensed bean,7.6,G,16.8,G,5.31,G,1
297,turkey hot dog,12.9,G,4.01,G,18.2,G,1
298,chile,10.9,G,6.35,G,16.9,G,1
299,creamy ranchero tomato soup,6.82,G,8.76,G,6.54,G,1
300,fermented black bean,3.08,G,12.6,G,3.85,G,1
301,artificial sweetener,0.33,G,4.83,G,0.1,G,1
302,sweet and sour plum sauce,0.27,G,38.2,G,0.02,G,1
303,monterey jack cheese,25.0,G,0.0,G,32.1,G,1
304,cherry yogurt,2.35,G,17.1,G,1.18,G,1
305,apricot halves in light syrup,0.53,G,16.5,G,0.05,G,1
306,liver,23.1,G,12.8,G,15.5,G,1
307,"oranges, juice and zest of",0.6,G,10.2,G,0.3,G,1
308,creme de menthe thin candy,10.0,G,60.0,G,35.0,G,1
309,"limes, juice and rind of",10.6,G,59.7,G,9.1,G,1
310,chili bean,6.12,G,13.2,G,3.76,G,1
311,raspberry drink mix,0.28,G,12.0,G,0.0,G,1
312,french vanilla non-dairy coffee creamer,0.0,G,86.3,G,13.3,G,1
313,center cut pork chop,18.7,G,0.84,G,9.62,G,1
314,graham cracker crumb,6.69,G,77.7,G,10.6,G,1
315,breast of turkey,10.7,G,7.14,G,3.57,G,1
316,garlic and herb spaghetti sauce,1.41,G,8.05,G,1.48,G,1
317,condensed mushroom soup,0.81,G,5.69,G,1.63,G,1
318,mashed sweet potato,1.31,G,39.9,G,0.0,G,1
319,whole cranberry sauce,0.75,G,40.4,G,0.05,G,1
320,au gratin potato,8.9,G,74.3,G,3.7,G,1
321,beef short rib,9.13,G,15.6,G,5.68,G,1
322,instant coconut cream pudding mix,0.9,G,83.5,G,10.0,G,1
323,fruit cocktail in light syrup,0.0,G,15.0,G,0.0,G,1
324,instant roasted garlic mashed potato,7.14,G,75.0,G,3.57,G,1
325,ature graham cracker pie crust,5.1,G,64.3,G,24.8,G,1
326,green bean,0.0,G,4.13,G,0.0,G,1
327,cabbage and carrot coleslaw mix,1.14,G,10.0,G,7.89,G,1
328,chicken instant bouillon,0.64,G,0.44,G,0.21,G,1
329,canned spaghetti in tomato sauce,4.37,G,11.4,G,4.11,G,1
330,corn and black bean salsa,3.08,G,12.6,G,3.85,G,1
331,chicken noodle soup mix,11.1,G,70.4,G,3.7,G,1
332,whole wheat bow tie pastum,5.0,G,31.0,G,8.0,G,1
333,mayonnaise,0.0,G,0.0,G,75.0,G,1
334,pie dough,7.1,G,52.6,G,6.0,G,1
335,ground beef,17.0,G,0.0,G,19.6,G,1
336,montreal steak seasoning,0.0,G,0.0,G,0.0,G,1
337,creme de menthe baking chip,5.0,G,60.0,G,35.0,G,1
338,mandarin oranges in light syrup,0.0,G,14.5,G,0.0,G,1
339,unbaked deep-dish pie shell,5.52,G,46.8,G,28.7,G,1
340,shredded pork,19.1,G,0.0,G,10.5,G,1
341,graham cracker tart crust,5.1,G,64.3,G,24.8,G,1
342,white cranberry juice,0.16,G,12.5,G,0.12,G,1
343,cholesterol-free egg substitute,10.0,G,2.0,G,0.0,G,1
344,mint creme-filled chocolate sandwich cookies,2.94,G,63.5,G,17.6,G,1
345,instant cinnamon and spice oatmeal,10.4,G,74.5,G,5.1,G,1
346,racks of baby-back pork rib,13.6,G,16.4,G,9.29,G,1
347,fromage frai,6.67,G,50.0,G,23.3,G,1
348,cookies & cream ice cream,4.55,G,65.9,G,22.7,G,1
349,chicken in a biscuit cracker,7.12,G,71.0,G,15.1,G,1
350,frozen carrots and broccoli mix,0.81,G,7.92,G,0.47,G,1
351,sweet and sour cocktail mix,11.5,G,17.8,G,8.45,G,1
352,candy covered plain chocolate candy,7.65,G,59.4,G,29.7,G,1
353,convertedrice,0,0,0,0,0,0,1
354,frozen light whipped dessert topping,3.0,G,23.6,G,13.1,G,1
355,artichoke hearts packed in oil,29.1,G,0.0,G,8.21,G,1
356,real bacon bit,32.0,G,28.6,G,25.9,G,1
357,golden cream of mushroom soup,1.29,G,6.59,G,5.5,G,1
358,oreo cookie pie crust,6.08,G,64.5,G,22.4,G,1
359,mexican vegetarian ground meat substitute,7.44,G,13.9,G,2.93,G,1
360,montreal roasted garlic chicken seasoning,0.0,G,0.0,G,0.0,G,1
361,frozen passion fruit juice concentrate,0.39,G,13.6,G,0.05,G,1
362,boboli whole wheat pizza crust,11.4,G,33.0,G,10.4,G,1
363,vegetable soup,1.67,G,9.17,G,0.21,G,1
364,herb,0.0,G,0.2,G,0.0,G,1
365,hot fudge topping,5.26,G,55.3,G,11.8,G,1
366,refrigerated pizza crust,3.41,G,58.5,G,28.7,G,1
367,fruit cocktail in heavy syrup,0.0,G,19.5,G,0.0,G,1
368,french herb roasting rub,8.6,G,50.2,G,4.3,G,1
369,baked beans in tomato sauce,5.15,G,18.7,G,0.93,G,1
370,nonstick baking spray,0.0,G,0.0,G,0.0,G,1
371,velveeta cheese product,19.6,G,11.8,G,10.6,G,1
372,chocolate ice cream,4.55,G,24.2,G,9.09,G,1
373,fiber one honey clusters cereal,7.69,G,82.7,G,2.88,G,1
374,magic shell ice cream topping,2.94,G,50.1,G,44.1,G,1
375,montrealsteak seasoning,10.8,G,63.5,G,18.3,G,1
376,ragu hearty robusto pasta sauce,1.6,G,3.2,G,4.8,G,1
377,nutri flour blend,9.38,G,66.7,G,10.9,G,1
378,frozen whipped topping,0,0,27.3,G,22.7,G,1
379,chocolate cream-filled chocolate sandwich cookies,4.33,G,68.2,G,24.5,G,1
380,frozen cubed hash brown potato,2.06,G,17.7,G,0.62,G,1
381,chicken and herb couscous mix,12.5,G,71.4,G,0.89,G,1
382,honey roasted turkey breast,21.4,G,7.14,G,0.0,G,1
383,grands refrigerated cinnamon roll,4.34,G,53.4,G,11.3,G,1
384,frozen green bean,1.44,G,6.24,G,3.07,G,1
385,pina colada yogurt,0.36,G,19.5,G,2.14,G,1
386,strawberry gelatin,1.22,G,14.2,G,0.0,G,1
387,multi-grain hot cereal,13.4,G,43.3,G,4.23,G,1
388,spice mix,16.7,G,66.7,G,3.33,G,1
389,chocolate fudge instant pudding mix,2.3,G,87.9,G,1.9,G,1
390,cream of broccoli soup mix,0.68,G,5.11,G,2.04,G,1
391,peach slices in heavy syrup,0.52,G,18.4,G,0.18,G,1
392,pickle,0.48,G,1.99,G,0.43,G,1
393,dried mild red chili pepper,17.9,G,68.7,G,3.0,G,1
394,"orange, juice and rind of",10.6,G,59.7,G,9.1,G,1
395,earth balance natural buttery spread,0.0,G,0.0,G,78.6,G,1
396,condensed new england clam chowder,3.17,G,10.3,G,2.06,G,1
397,mori-nu firm lite tofu,6.3,G,1.1,G,0.8,G,1
398,worcestershire sauce,0.0,G,19.2,G,0.0,G,1
399,laughing cow light swiss cheese,11.4,G,22.9,G,17.1,G,1
400,instant butter pecan pudding mix,0.0,G,92.7,G,0.6,G,1
401,black bean and rice mix,6.01,G,24.4,G,4.32,G,1
402,golden onion soup mix,7.48,G,65.1,G,0.34,G,1
403,frozen non-dairy whipped topping,0.82,G,12.9,G,2.49,G,1
404,spicy refried bean,4.98,G,13.6,G,2.01,G,1
405,sweet onion and pepper relish,0.37,G,35.1,G,0.47,G,1
406,frozen italian cut green bean,1.44,G,6.24,G,3.07,G,1
407,chicken breast half,3.13,G,4.3,G,11.5,G,1
408,hot red chili pepper flake,1.87,G,8.81,G,0.44,G,1
409,salt & fresh ground pepper,0.0,G,0.0,G,0.0,G,1
410,table blend seasoning,0.0,G,0.0,G,0.0,G,1
411,tomato bouillon,0.24,G,0.93,G,0.07,G,1
412,frozen broccoli cut,3.0,G,5.18,G,3.02,G,1
413,parma rosa sauce mix,12.5,G,50.0,G,12.5,G,1
414,fresh whole wheat bread crumb,12.3,G,43.1,G,3.55,G,1
415,tabascochipotle pepper sauce,1.29,G,0.8,G,0.76,G,1
416,cooked chicken breast,16.4,G,17.6,G,12.9,G,1
417,processed cheese,16.1,G,8.85,G,23.1,G,1
418,chocolate,7.32,G,61.0,G,29.3,G,1
419,stone ground whole wheat flmy,8.77,G,38.6,G,0.0,G,1
420,whole chicken breast,28.0,G,0.0,G,3.57,G,1
421,honey bunches of oats cereal,7.9,G,81.8,G,5.1,G,1
422,chocolate instant pudding mix,2.3,G,87.9,G,1.9,G,1
423,beef top sirloin steak,21.2,G,0.0,G,5.31,G,1
424,strawberry jell-o gelatin dessert,9.09,G,86.4,G,0.0,G,1
